"","Arsenic","Chlorine","Cobalt"
"158",6,8.8,0.26
"159",6,328,0.91
"160",6,3.2,0.2
"161",6,7,0.4
"162",6,3.2,0.2
"163",6,19.1,0.25
"164",6,13.4,0.9
"165",6,13.6,0.45
"166",20,6.8,0.34
"167",212,28.5,0.41
"168",6,1.4,0.43
"169",6,1.2,0.31
"170",6,6.9,0.26
"171",6,3.2,0.28
"172",40,70.4,0.45
"173",10,3.4,0.42
"174",6,6.7,0.24
"175",6,22.7,0.84
"176",6,67.3,0.88
"177",6,8,0.25
"178",6,25.1,0.3
"179",6,8.6,0.24
"180",6,2.4,0.13
"181",8,4.4,0.3
"182",67,5.4,0.37
"183",21,11.5,0.51
"184",17,4.6,0.22
"185",6,34.5,0.5
"186",6,13.9,0.09
"187",6,2.6,0.23
"188",6,16.9,0.39
"189",14,4,0.27
"190",6,16.5,0.31
"191",6,51.5,1.19
"192",6,13.2,0.22
"193",6,4.1,0.27
"194",137,3.9,0.43
"195",136,6.2,0.2
"196",12,7.2,0.19
"197",27,59.6,0.34
"198",234,3.4,0.13
"199",6,3,0.79
"200",1520,4.3,0.4
"201",13,105,0.62
"202",9,12.9,0.47
"203",6,4.7,0.21
"204",6,7.2,0.39
"205",6,13.7,0.29
"206",6,10.6,0.76
"207",6,2.8,0.22
"208",6,30.7,0.31
"209",6,11.9,0.45
"210",14,51.1,0.45
"211",6,NA,0.31
"212",8,64.3,0.63
"213",6,11.6,0.42
"214",88,5,0.59
"215",0.5,2.9,0.18
"216",0.5,5.1,0.14
"217",0.5,3.1,0.13
"218",18.6,14.2,0.68
"219",5.5,1.4,0.52
"220",61.2,43.4,0.42
"221",0.5,18.1,1.3
"222",103,1,0.28
"223",1.5,4.4,0.14
"224",10.7,3.1,0.27
"225",313,1.7,0.64
"226",0.5,5.1,0.75
"227",131,27.5,0.49
"228",157,3.1,0.24
"229",8.9,2.7,0.24
"230",3.9,4.8,0.29
"231",0.5,33.1,1.88
"232",0.5,3.4,0.86
"233",0.5,3.8,0.69
"234",12.1,3.8,0.39
"235",0.5,8.2,0.37
"236",109,12.2,0.41
"237",0.5,2.4,0.98
"238",0.5,223,0.46
"239",2.7,4.4,0.51
"240",0.5,13.3,0.31
"241",0.5,1.9,0.53
"242",0.5,20,0.32
"243",16.8,16.1,0.31
"244",29,9.6,0.16
"245",2340,8.9,0.32
"246",3.8,95.1,0.38
"247",108,2.4,0.3
"248",6.8,3.4,0.14
"249",0.5,5.1,0.15
"250",61.4,20.2,0.13
"251",0.5,1.7,0.47
"252",670,17.5,NA
"253",287,140,0.58
"254",409,426,0.43
"255",1.2,1.8,0.05
"256",125,16.6,0.35
"257",202,7.7,0.74
"258",30.3,39.8,0.18
"259",0.5,1050,0.32
"260",52.3,342,0.6
"261",109,1360,0.75
"262",80.7,5,0.76
"263",75.6,4.9,0.26
"264",72.9,195,0.68
"265",64.5,892,0.92
"266",36.4,65.7,0.29
"267",34.5,99.5,0.65
"268",88.6,NA,0.58
"269",9.4,18,0.35
"270",2.1,17.6,0.09
"271",94.8,736,0.23
